[2018-09-11 14:54:26.285] 603,ax,ay,az,gx,gy,gz,mx,my,mz,q0,q1,q2,q3,yaw,pitch,roll
[2018-09-11 14:54:28.303] ,-2.81,-20.02,883.67,-1.15,-1.48,0.44,-1380.95,160.34,-176.62,0.64,0.05,0.08,-0.76,-114.4,9.88,-3.07
[2018-09-11 14:54:28.850] ,0.85,-19.41,887.33,-1.08,-1.43,0.56,-1388.25,172.02,-172.24,0.73,-0.01,0.01,-0.68,-100.12,0.15,-1.6
[2018-09-11 14:54:29.394] ,9.03,-14.89,886.11,-1.11,-1.2,0.46,-1383.14,161.8,-149.61,0.74,-0.01,0.01,-0.67,-97.48,-0.26,-1.44
[2018-09-11 14:54:29.938] ,4.03,-23.68,885.86,-1.17,-1.3,0.61,-1380.22,176.4,-159.83,0.75,-0.01,0.01,-0.66,-96.93,-0.13,-1.51
[2018-09-11 14:54:30.483] ,3.3,-24.17,883.18,-1.13,-1.37,0.53,-1386.79,168.37,-165.67,0.75,-0.01,0.01,-0.66,-96.79,-0.19,-1.46
[2018-09-11 14:54:31.033] ,-3.17,-21.73,883.91,-1.05,-1.33,0.61,-1372.19,176.4,-162.02,0.75,-0.01,0.01,-0.66,-96.76,-0.14,-1.47
[2018-09-11 14:54:31.711] ,-2.32,-21.97,896.24,-1.18,-1.43,0.66,-1391.17,180.78,-171.51,0.75,-0.01,0.01,-0.66,-96.76,-0.09,-1.48
[2018-09-11 14:54:32.117] ,2.81,-19.9,885.86,-1.13,-1.31,0.56,-1392.63,171.29,-160.56,0.75,-0.01,0.01,-0.66,-96.73,-0.06,-1.53
[2018-09-11 14:54:32.659] ,-4.52,-21,886.84,-1.2,-1.44,0.43,-1389.71,158.88,-172.97,0.75,-0.01,0.01,-0.66,-96.73,-0.02,-1.49
[2018-09-11 14:54:33.199] ,-4.03,-20.51,887.08,-1.16,-1.41,0.59,-1380.95,174.21,-170.05,0.75,-0.01,0.01,-0.66,-96.73,-0.07,-1.5
[2018-09-11 14:54:33.739] ,3.42,-21.73,890.87,-1.06,-1.25,0.42,-1379.49,158.15,-154.72,0.75,-0.01,0.01,-0.66,-96.76,-0.11,-1.49
[2018-09-11 14:54:34.284] ,3.3,-17.82,891.85,-1.11,-1.21,0.5,-1387.52,166.18,-151.07,0.75,-0.01,0.01,-0.66,-96.71,-0.11,-1.49
[2018-09-11 14:54:34.825] ,-5.98,-23.56,888.67,-1.07,-1.3,0.51,-1388.25,166.91,-159.1,0.75,-0.01,0.01,-0.66,-96.74,-0.09,-1.48
[2018-09-11 14:54:35.373] ,-3.78,-17.82,891.24,-1.09,-1.3,0.54,-1380.95,169.83,-159.83,0.75,-0.01,0.01,-0.66,-96.71,-0.06,-1.49
[2018-09-11 14:54:35.914] ,0.12,-21.85,889.53,-1.15,-1.37,0.5,-1381.68,166.18,-165.67,0.75,-0.01,0.01,-0.66,-96.71,-0.08,-1.52
[2018-09-11 14:54:36.458] ,-1.46,-18.19,882.93,-0.96,-1.31,0.46,-1380.95,161.8,-160.56,0.75,-0.01,0.01,-0.66,-96.74,-0.1,-1.46
[2018-09-11 14:54:37.006] ,-10.01,-22.22,888.67,-1.1,-1.27,0.58,-1387.52,173.48,-156.91,0.75,-0.01,0.01,-0.66,-96.75,-0.08,-1.53
[2018-09-11 14:54:37.552] ,-3.3,-21.48,887.08,-1.14,-1.26,0.58,-1380.22,173.48,-155.45,0.75,-0.01,0.01,-0.66,-96.76,-0.08,-1.5
[2018-09-11 14:54:38.101] ,2.08,-15.01,887.45,-1.13,-1.37,0.66,-1376.57,180.78,-165.67,0.75,-0.01,0.01,-0.66,-96.76,-0.08,-1.49
[2018-09-11 14:54:38.646] ,4.15,-14.4,891.36,-1.25,-1.39,0.48,-1383.14,163.99,-167.86,0.75,-0.01,0.01,-0.66,-96.74,-0.25,-1.46
[2018-09-11 14:54:39.191] ,-3.66,-21.36,884.89,-1.03,-1.39,0.51,-1386.79,166.91,-167.86,0.75,-0.01,0.01,-0.66,-96.73,-0.08,-1.48
[2018-09-11 14:54:39.731] ,-8.42,-22.83,890.87,-1.05,-1.3,0.54,-1372.92,169.83,-159.1,0.75,-0.01,0.01,-0.66,-96.72,0,-1.48
